품목코드,품목명,평균수주단가,Column 4
,,,
1.#JE+00,가쓰오다시국물900ml,,
11501122,조미액-갈릭라이스3kg,,
11501131,조미유-쉐프솔루션베이스볶음밥(시즌),,
13D02168,아몬드호두드레싱,1088.4725926,
13D02169,1/2샐러드소스스트로베리,988.97793852,
13D02170,1/2샐러드소스파인애플,1128.9701731,
13D02171,1/2샐러드소스키위,1144.2763648,
13D02172,크리미시저드레싱,1414.18,
13D02173,올리브유발사믹드레싱,1047.7702517,
13D02174,세서미오리엔탈드레싱,1129.4832861,
13D02175,오리엔탈드레싱,1132.3448718,
13D02176,참깨흑임자드레싱100g,528,
13D02177,올리브유발사믹드레싱105g,600.74226804,
13D02180,허니요거트드레싱240g,1211.5723173,
13D02181,들깨드레싱235g,1279.7203166,
13D02186,아몬드호두110g,696.18336608,
13D02187,스위트머스타드110g,659.12075718,
13D02188,스위트머스타드-P,1062.1895846,
13D02189,아몬드호두드레싱-P,1135.2635702,
13D02190,참깨흑임자드레싱-P,943.01328374,
13D02191,올리브유발사믹드레싱-P,1072.7495899,
13D02192,쉐프메이드오리엔탈드레싱,1103.4519075,
13D02193,레몬갈릭소스-P,938.20809899,
13D02194,크리미시저-P,1545.6141414,
13D02195,쉐프메이드세서미오리엔탈,1098.8493392,
13D02196,1/2스트로베리샐러드소스-P,1080.432377,
13D02197,1/2키위샐러드소스-P,1238.2154595,
13D02198,1/2파인애플샐러드소스-P,1209.0901587,
13D02200,쉐프메이드오리엔탈드레싱550g,2440.325,
13D02201,스위트머스타드-P 510g,2462.4357767,
13D02203,아몬드호두드레싱-P 495g,2596.8159635,
13D02209,요리愛오리엔탈드레싱,2521.4724165,
13D02212,참깨흑임자드레싱-E,5147.9447633,
13D02215,올리브유발사믹드레싱2kg,8950.0026771,
13D02217,크리미시저드레싱2kg,12649.274378,
13D02230,쉐프메이드오리엔탈드레싱550g(빅마켓),2467.9402299,
13D02236,ORGA흑임자드레싱250g,1576.4516129,
13D02238,오리엔탈드레싱-N 240g,1103.6493956,
13D02241,올리브유발사믹드레싱-N 235g,1088.2271062,
13D02242,들깨드레싱-N 230g,1215.7920792,
13D02243,키위저지방샐러드소스-N 235g,1293.7152026,
13D02244,골드파인애플&골드키위저지방샐러드-N 235g,1350.4803279,
13D02246,딸기저지방샐러드소스-N 230g,1147.7496813,
13D02247,참깨&흑임자드레싱-N 220g,946.02586036,
13D02248,허니머스타드드레싱-N 230g,1075.4879906,
13D02249,아몬드&호두드레싱-N 225g,1150.7954968,
13D02250,레몬갈릭샐러드소스-N 245g,929.56094022,
13D02265,오리엔탈드레싱-N 240g(수출용),1099.1020408,
13D02269,크리미양파드레싱,3100,
13D02270,발사믹올리브유드레싱525g,2088.3990986,
13D02271,골드파인애플&골드키위저지방샐러드소스525,2889.3081937,
13D02273,흑참깨드레싱E,2159.7209302,
13D02274,클래식시저드레싱220g,1559.063989,
13D02277,참깨&흑임자드레싱-N 495g,2089.9793205,
13D02278,참깨&흑임자드레싱-N 105g,545.55657709,
13D02279,허니머스타드드레싱-N 510g,2363.6826347,
13D02280,허니머스타드드레싱-N 110g,656.57866462,
13D02281,아몬드&호두드레싱-N 495g,2502.7848101,
13D02282,아몬드&호두드레싱-N 110g,694.58810241,
13D02283,키위저지방샐러드소스-N 115g,665.59569562,
13D02284,오리엔탈드레싱-N 550g,2301.9509757,
13D02285,오리엔탈드레싱-N 115g,633.03235014,
13D02286,발사믹올리브유드레싱235g,1085.889686,
13D02292,정성담은오리엔탈드레싱(240g),2175.4578166,
13D02293,정성담은흑임자드레싱(220g),2090.9549696,
13D02308,발사믹올리브유드레싱110g,657.73684211,
13D02309,레몬갈릭샐러드소스-N 110g,684.14402174,
13D02310,키위샐러드소스-N 520*2,5916.7025496,
13D02311,아몬드&호두드레싱-N 495*2,4903.5512465,
13D02322,플레인요거트드레싱-N 110g,680.14962594,
13D02328,(20년)참깨&흑임자드레싱-N105g,518.53121019,
13D02329,(20년)허니머스타드드레싱-N110g,660.10215827,
