고객번호,물품대분류,두번째구매까지기간
201901080755765,수유용품,0
201901080755771,수유용품,21
201901080755781,티슈,0
201901080755789,수유용품,0
201901080755792,티슈,0
201901080755799,수유용품,49
201901080755800,3단계,28
201901080755803,아이_생활용품,121
201901080755805,2단계,8
201901080755812,이벤트,0
201901080755820,1단계,21
201901080755823,2단계,88
201901080755829,2단계,0
201901080755833,3단계,141
201901080755834,아이_생활용품,2
201901080755842,청결용품,21
201901080755843,4단계,501
201901080755847,2단계,43
201901080755851,티슈,20
201901080755859,수유용품,0
201901080755865,마스크,272
201901080755866,티슈,0
201901080755875,수유용품,40
201901080755891,아이_생활용품,2
201901090755906,5단계,28
201901090755913,2단계,63
201901090755916,수유용품,373
201901090755917,아이_생활용품,51
201901090755921,2단계,26
201901090755923,수유용품,0
201901090755926,수유용품,61
201901090755930,수유용품,243
201901090755935,티슈,0
201901090755939,생리대,58
201901090755953,화장품,0
201901090755954,3단계,63
201901090755964,수유용품,8
201901090755967,2단계,59
201901090755972,1단계,23
201901090755973,수유용품,24
201901090755982,수유용품,21
201901090755990,주방용품,235
201901090755995,5단계,132
201901090756001,이벤트,219
201901090756013,수유용품,24
201901090756016,3단계,153
201901090756020,2단계,292
201901090756022,수유용품,275
201901090756023,3단계,342
201901090756028,수유용품,11
201901090756037,수유용품,71
201901090756049,주방용품,25
201901090756052,화장품,0
201901090756054,3단계,0
201901090756057,이벤트,23
201901090756058,이벤트,45
201901090756064,화장품,0
201901090756067,화장품,433
201901090756070,수유용품,175
201901090756071,수유용품,351
201901090756087,이벤트,53
201901090756099,티슈,31
201901090756102,3단계,48
201901090756106,주방용품,0
201901090756110,티슈,0
201901090756111,티슈,71
201901090756128,1단계,35
201901090756134,이벤트,92
201901090756136,3단계,85
201901090756146,아이_생활용품,0
201901090756150,2단계,0
201901090756159,이벤트,32
201901090756163,1단계,61
201901090756180,이벤트,0
201901090756181,수유용품,326
201901090756182,티슈,1
201901090756194,티슈,109
201901090756206,티슈,0
201901090756209,청결용품,0
201901090756214,이벤트,0
