AreaId,Area,dateObs,TempAvg,TempMin,hhmiTempMin,TempMax,hhmiTempMax,hourRainfall,RainfallAmount,HumidAvg,SnowloadMax,hhmiSnowloadMax
108,서울,2020-08-11,24.6,22.4,536,27.3,1333,10.17,97,92.5,,
108,서울,2020-08-12,27.2,23.5,431,31.3,1405,,,83.9,,
108,서울,2020-08-13,28,26.3,506,30.3,1557,,,82.4,,
108,서울,2020-08-14,27.1,26.5,822,28,1147,2.92,0.4,86.1,,
108,서울,2020-08-15,26.1,25,729,27,1745,17.08,69,96,,
108,서울,2020-08-16,27.4,25.3,533,30.8,1441,,,82.6,,
108,서울,2020-08-17,28.2,26.1,459,32.2,1602,,,77.9,,
108,서울,2020-08-18,27.5,24,622,31.9,1543,,,76.3,,
108,서울,2020-08-19,27.1,23.6,514,31.4,1548,,,76.8,,
108,서울,2020-08-20,27.7,25,301,31.7,1310,,,76,,
108,서울,2020-08-21,26.6,25.2,543,29.2,1630,4.67,2.5,83.1,,
108,서울,2020-08-22,24.3,21.7,2342,27.6,1207,6.25,42.6,87.4,,
108,서울,2020-08-23,25.3,21.5,45,29.9,1555,,,78.4,,
108,서울,2020-08-24,27.8,23.7,554,32,1521,,,71.6,,
108,서울,2020-08-25,29.9,26,618,34.5,1452,,,69.5,,
108,서울,2020-08-26,30.2,27,552,34.5,1553,4.75,0.6,68.3,,
108,서울,2020-08-27,27.1,25.6,736,28.6,1611,15.08,8.7,84.6,,
108,서울,2020-08-28,27.3,26,551,29.7,1228,9.25,13.6,89.1,,
108,서울,2020-08-29,26.8,25.5,558,29,1612,9.5,13.6,90.1,,
108,서울,2020-08-30,26.8,24.4,2348,30.6,1423,11.08,42.5,88.8,,
108,서울,2020-08-31,26.4,23.8,107,30,1610,0.17,0,77.9,,
108,서울,2020-09-01,26.6,23.8,630,29.5,1459,0.75,0,72.4,,
108,서울,2020-09-02,24.3,22.6,2346,26.4,2,20.08,33.3,91.3,,
108,서울,2020-09-03,22.7,20,741,25.6,1420,11,29.8,82,,
108,서울,2020-09-04,23.3,19.9,325,27.5,1541,,,63.9,,
108,서울,2020-09-05,23.3,19.2,615,27.3,1529,,,66.6,,
108,서울,2020-09-06,21.7,19.5,2252,24.4,1449,8.58,6.4,80,,
108,서울,2020-09-07,19.2,17.5,751,20.6,2352,24,61,93.5,,
108,서울,2020-09-08,23.4,20.6,1,26.5,1419,1,0,71.5,,
108,서울,2020-09-09,21.1,19,1424,25.3,1258,4.83,1.3,83.4,,
