,고객번호,최근구매일,가입일,고객번호(가입일제외)
562,201901030751517,20190621,20190103,751517
563,201901030751525,20190304,20190103,751525
564,201901030751540,20190806,20190103,751540
565,201901030751544,20190317,20190103,751544
566,201901030751551,20190724,20190103,751551
567,201901030751560,20190504,20190103,751560
568,201901030751561,20190730,20190103,751561
569,201901030751572,20190509,20190103,751572
570,201901030751582,20200429,20190103,751582
571,201901030751583,20200520,20190103,751583
572,201901030751585,20190131,20190103,751585
573,201901030751586,20200728,20190103,751586
574,201901030751589,20190210,20190103,751589
575,201901030751597,20200803,20190103,751597
576,201901030751599,20191215,20190103,751599
577,201901030751600,20191219,20190103,751600
578,201901030751606,20190504,20190103,751606
579,201901030751620,20190115,20190103,751620
580,201901030751621,20200731,20190103,751621
581,201901030751625,20190209,20190103,751625
582,201901030751627,20200620,20190103,751627
583,201901030751630,20190706,20190103,751630
584,201901030751631,20191218,20190103,751631
585,201901030751635,20191004,20190103,751635
586,201901030751639,20200313,20190103,751639
587,201901030751645,20190104,20190103,751645
588,201901030751648,20190611,20190103,751648
589,201901030751649,20190819,20190103,751649
590,201901030751650,20190122,20190103,751650
591,201901030751653,20200707,20190103,751653
592,201901030751662,20191029,20190103,751662
593,201901030751669,20200507,20190103,751669
594,201901030751670,20200129,20190103,751670
595,201901030751671,20191111,20190103,751671
596,201901030751672,20191030,20190103,751672
597,201901030751673,20190609,20190103,751673
598,201901030751678,20191126,20190103,751678
599,201901030751685,20191028,20190103,751685
600,201901030751688,20200712,20190103,751688
601,201901030751691,20190104,20190103,751691
602,201901030751695,20191206,20190103,751695
603,201901030751701,20190220,20190103,751701
604,201901030751704,20190612,20190103,751704
605,201901030751709,20190501,20190103,751709
606,201901030751715,20200421,20190103,751715
607,201901030751716,20190716,20190103,751716
608,201901030751736,20200712,20190103,751736
609,201901030751740,20200527,20190103,751740
610,201901030751745,20200723,20190103,751745
611,201901030751746,20190104,20190103,751746
612,201901030751754,20200402,20190103,751754
613,201901030751758,20190730,20190103,751758
614,201901030751768,20190131,20190103,751768
615,201901030751776,20200505,20190103,751776
616,201901030751777,20190325,20190103,751777
617,201901030751780,20191031,20190103,751780
618,201901030751781,20190906,20190103,751781
619,201901030751783,20190908,20190103,751783
620,201901030751785,20191011,20190103,751785
621,201901030751789,20190730,20190103,751789
622,201901030751795,20190104,20190103,751795
623,201901030751797,20190311,20190103,751797
624,201901030751801,20191209,20190103,751801
625,201901030751803,20191021,20190103,751803
626,201901030751806,20191206,20190103,751806
627,201901030751809,20190214,20190103,751809
628,201901030751819,20190626,20190103,751819
629,201901030751821,20200718,20190103,751821
630,201901030751827,20191030,20190103,751827
631,201901030751828,20190318,20190103,751828
632,201901030751841,20200709,20190103,751841
633,201901030751842,20190110,20190103,751842
634,201901030751845,20190301,20190103,751845
635,201901030751848,20190727,20190103,751848
636,201901030751853,20200520,20190103,751853
637,201901030751862,20190104,20190103,751862
638,201901030751865,20190630,20190103,751865
639,201901030751871,20190208,20190103,751871
640,201901030751881,20190830,20190103,751881
641,201901030751883,20191220,20190103,751883
642,201901030751886,20190809,20190103,751886
643,201901030751887,20190113,20190103,751887
644,201901030751890,20190609,20190103,751890
645,201901030751891,20190104,20190103,751891
646,201901030751896,20200804,20190103,751896
647,201901030751898,20191218,20190103,751898
648,201901030751901,20190129,20190103,751901
649,201901030751907,20190906,20190103,751907
650,201901030751909,20191006,20190103,751909
651,201901030751922,20190201,20190103,751922
652,201901030751929,20190222,20190103,751929
653,201901030751932,20191105,20190103,751932
654,201901030751939,20190104,20190103,751939
655,201901030751945,20200803,20190103,751945
656,201901030751948,20200718,20190103,751948
657,201901030751949,20190129,20190103,751949
658,201901030751958,20200324,20190103,751958
659,201901030751961,20190123,20190103,751961
660,201901030751972,20200122,20190103,751972
661,201901030751976,20191203,20190103,751976
662,201901030751982,20200725,20190103,751982
663,201901030751987,20190105,20190103,751987
664,201901030751988,20200120,20190103,751988
665,201901030751989,20190930,20190103,751989
666,201901030751990,20190104,20190103,751990
667,201901030751995,20200130,20190103,751995
668,201901030751997,20190129,20190103,751997
669,201901030752011,20191213,20190103,752011
670,201901030752013,20190731,20190103,752013
671,201901030752016,20190731,20190103,752016
672,201901030752017,20200620,20190103,752017
673,201901030752020,20200805,20190103,752020
674,201901030752029,20190722,20190103,752029
675,201901030752036,20190717,20190103,752036
676,201901030752038,20190501,20190103,752038
677,201901030752043,20190104,20190103,752043
678,201901030752046,20191221,20190103,752046
679,201901030752047,20191012,20190103,752047
680,201901030752051,20200626,20190103,752051
681,201901030752052,20200707,20190103,752052
682,201901030752055,20191211,20190103,752055
683,201901030752057,20191125,20190103,752057
684,201901030752062,20190211,20190103,752062
685,201901030752067,20190104,20190103,752067
686,201901030752072,20200408,20190103,752072
687,201901030752080,20190126,20190103,752080
688,201901030752081,20190105,20190103,752081
689,201901030752083,20190331,20190103,752083
690,201901030752087,20190107,20190103,752087
691,201901030752094,20191023,20190103,752094
692,201901030752099,20190105,20190103,752099
693,201901030752100,20190121,20190103,752100
694,201901030752101,20200404,20190103,752101
695,201901040752078,20190128,20190104,752078
696,201901040752105,20190626,20190104,752105
697,201901040752106,20190731,20190104,752106
698,201901040752107,20190501,20190104,752107
699,201901040752110,20190221,20190104,752110
700,201901040752112,20191229,20190104,752112
701,201901040752114,20200803,20190104,752114
702,201901040752117,20200119,20190104,752117
703,201901040752121,20190911,20190104,752121
704,201901040752124,20190802,20190104,752124
705,201901040752128,20190104,20190104,752128
706,201901040752132,20190422,20190104,752132
707,201901040752142,20190616,20190104,752142
708,201901040752143,20200803,20190104,752143
709,201901040752145,20190418,20190104,752145
710,201901040752153,20190531,20190104,752153
711,201901040752155,20190125,20190104,752155
712,201901040752161,20200513,20190104,752161
713,201901040752164,20190226,20190104,752164
